2022-04-20 14:28:06.863721
1 https://www.rottentomatoes.com/m/it_happened_one_night
2 https://www.rottentomatoes.com/m/citizen_kane
3 https://www.rottentomatoes.com/m/the_wizard_of_oz_1939
4 https://www.rottentomatoes.com/m/modern_times
5 https://www.rottentomatoes.com/m/black_panther_2018
6 https://www.rottentomatoes.com/m/parasite_2019
7 https://www.rottentomatoes.com/m/avengers_endgame
8 https://www.rottentomatoes.com/m/1003707-casablanca
9 https://www.rottentomatoes.com/m/knives_out
10 https://www.rottentomatoes.com/m/us_2019
11 https://www.rottentomatoes.com/m/toy_story_4
12 https://www.rottentomatoes.com/m/lady_bird
13 https://www.rottentomatoes.com/m/mission_impossible_fallout
14 https://www.rottentomatoes.com/m/blackkklansman
15 https://www.rottentomatoes.com/m/get_out
16 https://www.rottentomatoes.com/m/the_irishman
17 https://www.rottentomatoes.com/m/godfather
18 https://www.rottentomatoes.com/m/mad_max_fury_road
19 https://www.rottentomatoes.com/m/spider_man_into_the_spider_verse
20 https://www.rottentomatoes.com/m/moonlight_2016
21 https://www.rottentomatoes.com/m/sunset_boulevard
22 https://www.rottentomatoes.com/m/1000626-all_about_eve
23 https://www.rottentomatoes.com/m/the_cabinet_of_dr_caligari
24 https://www.rottentomatoes.com/m/philadelphia_story
25 https://www.rottentomatoes.com/m/roma_2018
26 https://www.rottentomatoes.com/m/wonder_woman_2017
27 https://www.rottentomatoes.com/m/a_star_is_born_2018
28 https://www.rottentomatoes.com/m/inside_out_2015
29 https://www.rottentomatoes.com/m/a_quiet_place_2018
30 https://www.rottentomatoes.com/m/one_night_in_miami
31 https://www.rottentomatoes.com/m/eighth_grade
32 https://www.rottentomatoes.com/m/1017293-rebecca
33 https://www.rottentomatoes.com/m/booksmart
34 https://www.rottentomatoes.com/m/logan_2017
35 https://www.rottentomatoes.com/m/his_girl_friday
36 https://www.rottentomatoes.com/m/portrait_of_a_lady_on_fire
37 https://www.rottentomatoes.com/m/coco_2017
38 https://www.rottentomatoes.com/m/dunkirk_2017
39 https://www.rottentomatoes.com/m/star_wars_the_last_jedi
40 https://www.rottentomatoes.com/m/1015002-night_at_the_opera
41 https://www.rottentomatoes.com/m/the_shape_of_water_2017
42 https://www.rottentomatoes.com/m/thor_ragnarok_2017
43 https://www.rottentomatoes.com/m/spotlight_2015
44 https://www.rottentomatoes.com/m/the_farewell_2019
45 https://www.rottentomatoes.com/m/selma
46 https://www.rottentomatoes.com/m/the_third_man
47 https://www.rottentomatoes.com/m/1017289-rear_window
48 https://www.rottentomatoes.com/m/et_the_extraterrestrial
49 https://www.rottentomatoes.com/m/seven_samurai_1956
50 https://www.rottentomatoes.com/m/la_grande_illusion
51 https://www.rottentomatoes.com/m/arrival_2016
52 https://www.rottentomatoes.com/m/singin_in_the_rain
53 https://www.rottentomatoes.com/m/the_favourite_2018
54 https://www.rottentomatoes.com/m/double_indemnity
55 https://www.rottentomatoes.com/m/1000642-all_quiet_on_the_western_front
56 https://www.rottentomatoes.com/m/1048445-snow_white_and_the_seven_dwarfs
57 https://www.rottentomatoes.com/m/marriage_story_2019
58 https://www.rottentomatoes.com/m/the_big_sick
59 https://www.rottentomatoes.com/m/on_the_waterfront
60 https://www.rottentomatoes.com/m/star_wars_episode_vii_the_force_awakens
61 https://www.rottentomatoes.com/m/american_in_paris
62 https://www.rottentomatoes.com/m/best_years_of_our_lives
63 https://www.rottentomatoes.com/m/1013775-metropolis
64 https://www.rottentomatoes.com/m/boyhood
65 https://www.rottentomatoes.com/m/gravity_2013
66 https://www.rottentomatoes.com/m/leave_no_trace
67 https://www.rottentomatoes.com/m/1013139-maltese_falcon
68 https://www.rottentomatoes.com/m/the_invisible_man_2020
69 https://www.rottentomatoes.com/m/12_years_a_slave
70 https://www.rottentomatoes.com/m/once_upon_a_time_in_hollywood
71 https://www.rottentomatoes.com/m/argo_2012
72 https://www.rottentomatoes.com/m/soul_2020
73 https://www.rottentomatoes.com/m/ma_raineys_black_bottom
74 https://www.rottentomatoes.com/m/1052609-kid
75 https://www.rottentomatoes.com/m/manchester_by_the_sea
76 https://www.rottentomatoes.com/m/nosferatu
77 https://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood
78 https://www.rottentomatoes.com/m/la_la_land
79 https://www.rottentomatoes.com/m/north-by-northwest
80 https://www.rottentomatoes.com/m/1012007-laura
81 https://www.rottentomatoes.com/m/spider_man_far_from_home
82 https://www.rottentomatoes.com/m/incredibles_2
83 https://www.rottentomatoes.com/m/zootopia
84 https://www.rottentomatoes.com/m/alien
85 https://www.rottentomatoes.com/m/1011615-king_kong
86 https://www.rottentomatoes.com/m/1018688-shadow_of_a_doubt
87 https://www.rottentomatoes.com/m/call_me_by_your_name
88 https://www.rottentomatoes.com/m/psycho
89 https://www.rottentomatoes.com/m/1917_2019
90 https://www.rottentomatoes.com/m/la_confidential
91 https://www.rottentomatoes.com/m/the_florida_project
92 https://www.rottentomatoes.com/m/war_for_the_planet_of_the_apes
93 https://www.rottentomatoes.com/m/paddington_2
94 https://www.rottentomatoes.com/m/beatles_a_hard_days_night
95 https://www.rottentomatoes.com/m/widows_2018
96 https://www.rottentomatoes.com/m/never_rarely_sometimes_always
97 https://www.rottentomatoes.com/m/baby_driver
98 https://www.rottentomatoes.com/m/spider_man_homecoming
99 https://www.rottentomatoes.com/m/godfather_part_ii
100 https://www.rottentomatoes.com/m/the_battle_of_algiers
